sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeCineGradientEcho,Cine GRE,138240,seqeyes,SeqEyes-Plus,1,471.30000019073486,0.47130000019073487,0.3693000001907349,0.36719999980926515,0.38089999961853027,complete,,
writeCineGradientEcho,Cine GRE,138240,seqeyes,SeqEyes-Plus,2,367.19999980926514,0.36719999980926515,0.3693000001907349,0.36719999980926515,0.38089999961853027,complete,,
writeCineGradientEcho,Cine GRE,138240,seqeyes,SeqEyes-Plus,3,380.8999996185303,0.38089999961853027,0.3693000001907349,0.36719999980926515,0.38089999961853027,complete,,
writeCineGradientEcho,Cine GRE,138240,seqeyes,SeqEyes-Plus,4,365.90000009536743,0.36590000009536744,0.3693000001907349,0.36719999980926515,0.38089999961853027,complete,,
writeCineGradientEcho,Cine GRE,138240,seqeyes,SeqEyes-Plus,5,369.30000019073486,0.3693000001907349,0.3693000001907349,0.36719999980926515,0.38089999961853027,complete,,
writeCineGradientEcho,Cine GRE,138240,matlab,Pulseq MATLAB,1,9479.938416666666,9.479938416666666,9.619717458333334,9.593472,9.651835916666666,complete,,
writeCineGradientEcho,Cine GRE,138240,matlab,Pulseq MATLAB,2,9619.717458333334,9.619717458333334,9.619717458333334,9.593472,9.651835916666666,complete,,
writeCineGradientEcho,Cine GRE,138240,matlab,Pulseq MATLAB,3,9651.835916666667,9.651835916666666,9.619717458333334,9.593472,9.651835916666666,complete,,
writeCineGradientEcho,Cine GRE,138240,matlab,Pulseq MATLAB,4,9593.472,9.593472,9.619717458333334,9.593472,9.651835916666666,complete,,
writeCineGradientEcho,Cine GRE,138240,matlab,Pulseq MATLAB,5,9753.800333333333,9.753800333333333,9.619717458333334,9.593472,9.651835916666666,complete,,
writeCineGradientEcho,Cine GRE,138240,pypulseq,PyPulseq,1,3954.380542039871,3.954380542039871,4.222636125050485,4.153271500021219,4.2880054586566985,complete,,
writeCineGradientEcho,Cine GRE,138240,pypulseq,PyPulseq,2,4153.271500021219,4.153271500021219,4.222636125050485,4.153271500021219,4.2880054586566985,complete,,
writeCineGradientEcho,Cine GRE,138240,pypulseq,PyPulseq,3,4369.316250085831,4.369316250085831,4.222636125050485,4.153271500021219,4.2880054586566985,complete,,
writeCineGradientEcho,Cine GRE,138240,pypulseq,PyPulseq,4,4288.0054586566985,4.2880054586566985,4.222636125050485,4.153271500021219,4.2880054586566985,complete,,
