sequence_id,sequence_label,category,adc_samples,median_ready_ms,median_ready_seconds,is_labelled,log10_adc_samples,log10_ready_seconds,official_fit_predicted_log10_ready,official_fit_predicted_seconds,official_fit_n,official_fit_slope,official_fit_intercept,official_fit_r2
writeCineGradientEcho,writeCineGradientEcho,demoSeq,138240,205,0.205,false,5.140633725134818,-0.6882461389442457,-0.7114039443202071,0.19435515119743843,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpi,EPI,demoSeq,12288,28,0.028,true,4.089481202687437,-1.5528419686577808,-1.296816096361744,0.05048750435481585,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiDiffusionRS,writeEpiDiffusionRS,demoSeq,31248,39.90000009536743,0.039900000095367434,false,4.494822225943779,-1.399027103275218,-1.0710719196910437,0.084903986136664,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiDiffusionRS_PMC,writeEpiDiffusionRS_PMC,demoSeq,36456,41.09999990463257,0.04109999990463257,false,4.561769015574392,-1.386158179131657,-1.0337876404328057,0.09251504396928058,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiRS,EPI-RS,demoSeq,5120,21.200000286102295,0.021200000286102295,true,3.709269960975831,-1.6736641332102746,-1.5085648925521826,0.031005240716793062,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiRS_label,writeEpiRS_label,demoSeq,76032,76.59999990463257,0.07659999990463257,false,4.880996414629062,-1.1157712309080952,-0.8560022147401498,0.139314969838246,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiRS_label_softdelay,writeEpiRS_label_softdelay,demoSeq,76032,76.80000019073486,0.07680000019073487,false,4.880996414629062,-1.114638778889906,-0.8560022147401498,0.139314969838246,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiRS_label_trans,writeEpiRS_label_trans,demoSeq,912384,310.90000009536743,0.31090000009536745,false,5.9601776606766865,-0.5073792778235899,-0.25498019157963236,0.5559296129606027,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiSpinEcho,writeEpiSpinEcho,demoSeq,4096,20.5,0.0205,false,3.612359947967774,-1.6882461389442456,-1.5625364124390693,0.027381900472853316,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpiSpinEchoRS,EPI spin echo RS,demoSeq,13440,32.19999980926514,0.032199999809265134,true,4.128399268717806,-1.4921441308766878,-1.275141688222488,0.05307112718618384,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeEpi_label,writeEpi_label,demoSeq,266112,164.09999990463257,0.16409999990463256,false,5.425064458979338,-0.784891419199299,-0.5529976194045871,0.2798996662358321,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeFastRadialGradientEcho,writeFastRadialGradientEcho,demoSeq,122880,72.30000019073486,0.07230000019073486,false,5.089481202687437,-1.1408617015597555,-0.7398920158500681,0.18201533701881012,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeFastRadialGradientEcho_rot3D,3D radial GRE,demoSeq,122880,76.7000002861023,0.0767000002861023,true,5.089481202687437,-1.1152046344310367,-0.7398920158500681,0.18201533701881012,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,demoSeq,122880,75.80000019073486,0.07580000019073486,false,5.089481202687437,-1.1203307932751352,-0.7398920158500681,0.18201533701881012,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeFid,writeFid,demoSeq,65536,529.8000001907349,0.5298000001907348,false,4.816479930623699,-0.2758880458824362,-0.8919329982726829,0.12825284322616973,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
